"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","31-Jan-2001","TS_GP_ER_REERNEERO_M.R00010","b. REER (Base 2000=100)","93.25","Index","Normal","","20","Real Effective Exchange Rate (Base Year: 2000)"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","31-Jan-2001","TS_GP_ER_REERNEERO_M.N00020","c. NEER (Base 2000=100):  MOM Changes","-2.777484423","Percent","Normal","","30","NEER : Percentage Change over last Year / Month"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","31-Jan-2001","TS_GP_ER_REERNEERO_M.R00020","d. REER (Base 2000=100): MOM Changes","-3.337825231","Percent","Normal","","40","REER : Percentage Change over last Year / Month"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","31-Dec-2000","TS_GP_ER_REERNEERO_M.N00010","a. NEER (Base 2000=100)","94.69","Index","Normal","","10","Nominal Effective Exchange Rate (Base Year: 2000)"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","31-Dec-2000","TS_GP_ER_REERNEERO_M.R00010","b. REER (Base 2000=100)","96.47","Index","Normal","","20","Real Effective Exchange Rate (Base Year: 2000)"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","31-Dec-2000","TS_GP_ER_REERNEERO_M.N00020","c. NEER (Base 2000=100):  MOM Changes","-3.897290165","Percent","Normal","","30","NEER : Percentage Change over last Year / Month"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","31-Dec-2000","TS_GP_ER_REERNEERO_M.R00020","d. REER (Base 2000=100): MOM Changes","-3.45276221","Percent","Normal","","40","REER : Percentage Change over last Year / Month"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","30-Nov-2000","TS_GP_ER_REERNEERO_M.N00010","a. NEER (Base 2000=100)","98.53","Index","Normal","","10","Nominal Effective Exchange Rate (Base Year: 2000)"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","30-Nov-2000","TS_GP_ER_REERNEERO_M.R00010","b. REER (Base 2000=100)","99.92","Index","Normal","","20","Real Effective Exchange Rate (Base Year: 2000)"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","30-Nov-2000","TS_GP_ER_REERNEERO_M.N00020","c. NEER (Base 2000=100):  MOM Changes","2.603353119","Percent","Normal","","30","NEER : Percentage Change over last Year / Month"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","30-Nov-2000","TS_GP_ER_REERNEERO_M.R00020","d. REER (Base 2000=100): MOM Changes","3.127257715","Percent","Normal","","40","REER : Percentage Change over last Year / Month"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","31-Oct-2000","TS_GP_ER_REERNEERO_M.N00010","a. NEER (Base 2000=100)","96.03","Index","Normal","","10","Nominal Effective Exchange Rate (Base Year: 2000)"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","31-Oct-2000","TS_GP_ER_REERNEERO_M.R00010","b. REER (Base 2000=100)","96.89","Index","Normal","","20","Real Effective Exchange Rate (Base Year: 2000)"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","31-Oct-2000","TS_GP_ER_REERNEERO_M.N00020","c. NEER (Base 2000=100):  MOM Changes","-2.418453409","Percent","Normal","","30","NEER : Percentage Change over last Year / Month"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","31-Oct-2000","TS_GP_ER_REERNEERO_M.R00020","d. REER (Base 2000=100): MOM Changes","-2.15108059","Percent","Normal","","40","REER : Percentage Change over last Year / Month"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","30-Sep-2000","TS_GP_ER_REERNEERO_M.N00010","a. NEER (Base 2000=100)","98.41","Index","Normal","","10","Nominal Effective Exchange Rate (Base Year: 2000)"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","30-Sep-2000","TS_GP_ER_REERNEERO_M.R00010","b. REER (Base 2000=100)","99.02","Index","Normal","","20","Real Effective Exchange Rate (Base Year: 2000)"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","30-Sep-2000","TS_GP_ER_REERNEERO_M.N00020","c. NEER (Base 2000=100):  MOM Changes","-2.118559777","Percent","Normal","","30","NEER : Percentage Change over last Year / Month"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","30-Sep-2000","TS_GP_ER_REERNEERO_M.R00020","d. REER (Base 2000=100): MOM Changes","-1.609697933","Percent","Normal","","40","REER : Percentage Change over last Year / Month"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","31-Aug-2000","TS_GP_ER_REERNEERO_M.N00010","a. NEER (Base 2000=100)","100.54","Index","Normal","","10","Nominal Effective Exchange Rate (Base Year: 2000)"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","31-Aug-2000","TS_GP_ER_REERNEERO_M.R00010","b. REER (Base 2000=100)","100.64","Index","Normal","","20","Real Effective Exchange Rate (Base Year: 2000)"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","31-Aug-2000","TS_GP_ER_REERNEERO_M.N00020","c. NEER (Base 2000=100):  MOM Changes","-1.179477098","Percent","Normal","","30","NEER : Percentage Change over last Year / Month"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","31-Aug-2000","TS_GP_ER_REERNEERO_M.R00020","d. REER (Base 2000=100): MOM Changes","-1.699550693","Percent","Normal","","40","REER : Percentage Change over last Year / Month"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","31-Jul-2000","TS_GP_ER_REERNEERO_M.N00010","a. NEER (Base 2000=100)","101.74","Index","Normal","","10","Nominal Effective Exchange Rate (Base Year: 2000)"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","31-Jul-2000","TS_GP_ER_REERNEERO_M.R00010","b. REER (Base 2000=100)","102.38","Index","Normal","","20","Real Effective Exchange Rate (Base Year: 2000)"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","31-Jul-2000","TS_GP_ER_REERNEERO_M.N00020","c. NEER (Base 2000=100):  MOM Changes","-.225556536","Percent","Normal","","30","NEER : Percentage Change over last Year / Month"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","31-Jul-2000","TS_GP_ER_REERNEERO_M.R00020","d. REER (Base 2000=100): MOM Changes",".058639562","Percent","Normal","","40","REER : Percentage Change over last Year / Month"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","30-Jun-2000","TS_GP_ER_REERNEERO_M.N00010","a. NEER (Base 2000=100)","101.97","Index","Normal","","10","Nominal Effective Exchange Rate (Base Year: 2000)"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","30-Jun-2000","TS_GP_ER_REERNEERO_M.R00010","b. REER (Base 2000=100)","102.32","Index","Normal","","20","Real Effective Exchange Rate (Base Year: 2000)"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","30-Jun-2000","TS_GP_ER_REERNEERO_M.N00020","c. NEER (Base 2000=100):  MOM Changes","-2.579535684","Percent","Normal","","30","NEER : Percentage Change over last Year / Month"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","30-Jun-2000","TS_GP_ER_REERNEERO_M.R00020","d. REER (Base 2000=100): MOM Changes","-1.634301096","Percent","Normal","","40","REER : Percentage Change over last Year / Month"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","31-May-2000","TS_GP_ER_REERNEERO_M.N00010","a. NEER (Base 2000=100)","104.67","Index","Normal","","10","Nominal Effective Exchange Rate (Base Year: 2000)"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","31-May-2000","TS_GP_ER_REERNEERO_M.R00010","b. REER (Base 2000=100)","104.02","Index","Normal","","20","Real Effective Exchange Rate (Base Year: 2000)"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","31-May-2000","TS_GP_ER_REERNEERO_M.N00020","c. NEER (Base 2000=100):  MOM Changes","2.678045909","Percent","Normal","","30","NEER : Percentage Change over last Year / Month"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","31-May-2000","TS_GP_ER_REERNEERO_M.R00020","d. REER (Base 2000=100): MOM Changes","2.91876917","Percent","Normal","","40","REER : Percentage Change over last Year / Month"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","30-Apr-2000","TS_GP_ER_REERNEERO_M.N00010","a. NEER (Base 2000=100)","101.94","Index","Normal","","10","Nominal Effective Exchange Rate (Base Year: 2000)"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","30-Apr-2000","TS_GP_ER_REERNEERO_M.R00010","b. REER (Base 2000=100)","101.07","Index","Normal","","20","Real Effective Exchange Rate (Base Year: 2000)"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","30-Apr-2000","TS_GP_ER_REERNEERO_M.N00020","c. NEER (Base 2000=100):  MOM Changes",".50280982","Percent","Normal","","30","NEER : Percentage Change over last Year / Month"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees (Base Year: 2000)","30-Apr-2000","TS_GP_ER_REERNEERO_M.R00020","d. REER (Base 2000=100): MOM Changes",".938779587","Percent","Normal","","40","REER : Percentage Change over last Year / Month"
