model,window_size,horizon,avg_rmse,avg_mae,avg_mape,n_windows
arima,60,1,0.21302836794196736,0.21302836794196736,1.4794878217652958,795
arima,60,3,0.398506450201419,0.3495125392528296,2.357386854316201,795
arima,60,6,0.6469496311037913,0.5380180971528186,3.54638732627119,795
arima,48,12,1.103416846747564,0.889099981221599,5.829605536329559,807
