"Inflation rate, average consumer prices (Annual percent change)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,35.7,16.4,10.6,6.8,8.7,26.4,-6.8,2.2,11.8,6.4,7.4,4.7,-0.7,4.4,5,0.6,2.3,5.6,7.8,10.6,-7.7,no data,no data,no data,no data,no data,no data,no data
Advanced economies,13.6,11.1,8.4,6.1,6.5,5.5,2.9,3.2,3.6,4.7,4.9,4.7,3.6,3.2,2.7,2.6,2.5,2.1,1.6,1.4,2.3,2.2,1.6,1.9,2,2.3,2.4,2.2,3.4,0.2,1.6,2.7,2,1.4,1.4,0.3,0.7,1.7,2,1.4,0.7,3.1,7.3,4.6,2.6,2.5,2.2,2,2.1,2.1,2.1
Emerging market and developing economies,26.6,23.5,27.1,30.1,32.4,33.3,31.8,40.8,57.3,65.5,78.9,44.6,121.8,122.5,90.7,40.8,21.1,13.8,13.8,13.7,9.1,8.3,6.8,6.6,6.1,6,5.8,6.4,9.4,5.1,5.6,7.1,5.8,5.4,4.7,4.7,4.2,4.4,4.9,5.1,5.2,5.8,9.5,8,7.7,5.5,4.6,4.1,4,3.9,3.8
World,17.3,15,14.3,13.4,14,13.7,11.7,14.5,19.1,22,25.4,16.9,39.3,39.8,30.8,16.2,9.5,6.6,6.3,6.2,5,4.6,3.7,3.9,3.8,3.9,3.9,4.1,6.3,2.6,3.6,4.9,4,3.5,3.2,2.7,2.7,3.2,3.6,3.5,3.3,4.7,8.6,6.6,5.7,4.3,3.6,3.3,3.2,3.2,3.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©IMF, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
