"Model","MSE","R_Squared"
"ARIMA",206.429858156028,NA
"Ridge",177.862376780728,-0.903851437114844
"Lasso",177.862376780728,-0.903851437114844
"Elastic Net",177.862376780728,-0.903851437114844
