"Model","Mean_Error","Median_Error","Error_Variance","Error_Range"
"ARIMA",-10.6304964539007,-8.5,94.0897061803445,29.4
"Ridge",5.65405651808446,8.18022617288682,146.936121825828,37.094381253273
"Lasso",5.65405651808446,8.18022617288682,146.936121825828,37.094381253273
"ElasticNet",5.65405651808446,8.18022617288682,146.936121825828,37.094381253273
