"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00021000","............. Investment in NBFIs","122316.571","Million PKR","Normal","","110","Scheduled Banks Investment in Non-Bank Financial Institutions (NBFIs)"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00022000","............. Loans to NBFIs","1009491.564","Million PKR","Normal","","120","Scheduled Banks Loans to Non-Bank Financial Institutions (NBFIs)"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00023000","......III. Credit to Private sector (A+B)","9664582.818","Million PKR","Normal","","130","Scheduled Banks Credit to Private sector"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00024000","......A. Investment in Securities & Shares of Private sector","221765.983","Million PKR","Normal","","140","Scheduled Banks Investment in Private sector"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00025000","......B. Loans to Private sector (1-4)","9442816.835","Million PKR","Normal","","150","Scheduled Banks Loans to Private sector"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00026000","............1 PRIVATE sector (BUSINESS)","8248483.307","Million PKR","Normal","","160","Scheduled Banks Loans to Private sector Businesses"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00027000","............A. Agriculture, forestry and fishing","445049.707","Million PKR","Normal","","170","Scheduled Banks Loans to Agriculture, Forestry and Fishing sector"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00028000","..................01- Crop and animal production, hunting and related service activities","442638.991","Million PKR","Normal","","180","Scheduled Banks Loans to Crop and Animal production, hunting and related service activities"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00029000","..................02- Forestry and logging","17.21","Million PKR","Normal","","190","Scheduled Banks Loans to Forestry and Logging"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00030000","..................03- Fishing and aquaculture","2393.506","Million PKR","Normal","","200","Scheduled Banks Loans to Fishing and aquaculture"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00031000","............B. Mining and quarrying","71445.956","Million PKR","Normal","","210","Scheduled Banks Loans to Mining and quarrying sector"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00032000","..................05- Mining of coal and lignite","37090.163","Million PKR","Normal","","220","Scheduled Banks Loans to Mining of coal and lignite"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00033000","..................06- Extraction of crude petroleum and natural gas","17748.615","Million PKR","Normal","","230","Scheduled Banks Loans to Extraction of crude petroleum and natural gas"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00034000","..................07- Mining of metal ores","944.815","Million PKR","Normal","","240","Scheduled Banks Loans to Mining of metal ores"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00035000","..................08- Other mining and quarrying","15626.789","Million PKR","Normal","","250","Scheduled Banks Loans to mining and quarrying"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00036000","..................09- Mining support service activities","35.574","Million PKR","Normal","","260","Scheduled Banks Loans to Mining support service activities"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00037000","............C. Manufacturing","5411951.225","Million PKR","Normal","","270","Scheduled Banks Loans to Manufacturing sector"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00038000","..................10- Manufacture of food products","1265195.363","Million PKR","Normal","","280","Scheduled Banks Loans to Manufacture of food products"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00039000","......................... Manufacture of sugar","572317.076","Million PKR","Normal","","290","Scheduled Banks Loans to Manufacture of sugar"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00040000","..................11- Manufacture of beverages","51180.226","Million PKR","Normal","","300","Scheduled Banks Loans to Manufacture of beverages"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00041000","..................12- Manufacture of tobacco products","2276.932","Million PKR","Normal","","310","Scheduled Banks Loans to Manufacture of tobacco products"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00042000","..................13- Manufacture of textiles","1865779.411","Million PKR","Normal","","320","Scheduled Banks Loans to Manufacture of textiles"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00043000","..................14- Manufacture of wearing apparel","293342.926","Million PKR","Normal","","330","Scheduled Banks Loans to Manufacture of wearing apparel"
