"Model","MAE","RMSE","MAPE","R_Squared"
"Ridge",6.41491508625054,7.82704697216499,120.903899802748,0.341771517722083
"Lasso",5.76406325616924,7.42335802508708,116.207901965071,0.407918346245594
"Elastic Net",5.78719615034529,7.44562995291838,116.619243775167,0.404360230992547
