"Variable","Ridge","Lasso","ElasticNet","Ridge_Abs","Lasso_Abs","ElasticNet_Abs","Avg_Importance"
"sugar_price_index_std",3.94131414900989,4.67554674533764,4.64765207096044,3.94131414900989,4.67554674533764,4.64765207096044,4.42150432176932
"global_food_index_yoy_pct_std",-1.78552713420341,-1.56127271651866,-1.6006642692517,1.78552713420341,1.56127271651866,1.6006642692517,1.64915470665792
"meat_price_index_std",1.84968332254477,1.17354937074837,1.23594105121132,1.84968332254477,1.17354937074837,1.23594105121132,1.41972458150149
