"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Export and Import of Goods and Services","31-Mar-2025","TS_GP_BOP_XMGS_M.P00310","......12 Government Goods and Services n.i.e.","71","Million USD","Normal","","310","Imports of Services-Government Goods and Services n.i.e."
"Export and Import of Goods and Services","31-Mar-2025","TS_GP_BOP_XMGS_M.P00320","B. Imports of Goods and Services","5919","Million USD","Normal","","320","Imports of Goods and Services-Total"
"Export and Import of Goods and Services","28-Feb-2025","TS_GP_BOP_XMGS_M.P00010",". Goods and Services Balance (A-B)","-2720","Million USD","Normal","","10","Goods and Services Balance"
"Export and Import of Goods and Services","28-Feb-2025","TS_GP_BOP_XMGS_M.P00020","1 Goods - Export (FOB)","2603","Million USD","Normal","","20","Goods - Export (FOB)"
"Export and Import of Goods and Services","28-Feb-2025","TS_GP_BOP_XMGS_M.P00030","2 Exports of Services","713","Million USD","Normal","","30","Exports of Services-Total"
"Export and Import of Goods and Services","28-Feb-2025","TS_GP_BOP_XMGS_M.P00040","......1 Manufacturing Services on Physical inputs owned by Others","0","Million USD","Normal","","40","Exports of Services-Manufacturing Services on Physical inputs owned by Others"
"Export and Import of Goods and Services","28-Feb-2025","TS_GP_BOP_XMGS_M.P00050","......2 Maintenance and Repair Services n.i.e.","1","Million USD","Normal","","50","Exports of Services-Maintenance and Repair Services n.i.e."
"Export and Import of Goods and Services","28-Feb-2025","TS_GP_BOP_XMGS_M.P00060","......3 Transport","93","Million USD","Normal","","60","Exports of Services-Transport"
"Export and Import of Goods and Services","28-Feb-2025","TS_GP_BOP_XMGS_M.P00070","......4 Travel","69","Million USD","Normal","","70","Exports of Services-Travel"
"Export and Import of Goods and Services","28-Feb-2025","TS_GP_BOP_XMGS_M.P00080","......5 Construction","2","Million USD","Normal","","80","Exports of Services-Construction"
"Export and Import of Goods and Services","28-Feb-2025","TS_GP_BOP_XMGS_M.P00090","......6 Insurance and Pension Services","16","Million USD","Normal","","90","Exports of Services-Insurance and Pension Services"
"Export and Import of Goods and Services","28-Feb-2025","TS_GP_BOP_XMGS_M.P00100","......7 Financial Services","3","Million USD","Normal","","100","Exports of Services-Financial Services"
