"Dataset","Series Key","Series","Observation Date","Observation Value","Unit","Observation Status","Observation Status Comment"
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Oct-2021","9.2","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","30-Sep-2021","8.979178716","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Aug-2021","8.353519783","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Jul-2021","8.405968385","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","30-Jun-2021","9.655669291","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-May-2021","10.86176628","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","30-Apr-2021","11.1","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Mar-2021","9.1","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","28-Feb-2021","8.7","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Jan-2021","5.7","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Dec-2020","7.98","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","30-Nov-2020","8.35","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Oct-2020","8.91","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","30-Sep-2020","9.03","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Aug-2020","8.21","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Jul-2020","9.3","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","30-Jun-2020","8.59","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-May-2020","8.23","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","30-Apr-2020","8.52","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Mar-2020","10.24","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","29-Feb-2020","12.4","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Jan-2020","14.56","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Dec-2019","12.63","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","30-Nov-2019","12.67","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Oct-2019","11.04","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","30-Sep-2019","11.38","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Aug-2019","10.49","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Jul-2019","8.38","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","30-Jun-2019","8.04","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-May-2019","8.42","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","30-Apr-2019","8.27","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Mar-2019","8.64","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","28-Feb-2019","6.75","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Jan-2019","5.55","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Dec-2018","5.37","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","30-Nov-2018","5.66","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Oct-2018","6.5","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","30-Sep-2018","5.42","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Aug-2018","6.17","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Jul-2018","6.66","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","30-Jun-2018","5.67","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-May-2018","4.98","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","30-Apr-2018","3.96","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Mar-2018","3.59","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","28-Feb-2018","4.46","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Jan-2018","5.24","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Dec-2017","5.61","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","30-Nov-2017","5.03","Percent","Normal",""
